CodTransaccion,NroFormulario,CodCampus,Marca,Categoria,Tipo,ValUnid,Proveedor,NroSerial,EmpresaResponsable,Estado,Historial
327,966217823,CPU045,Compumax,Equipo de computo,Cpu,,Compumax Computer ,Sin serial ,Campuslands,0,[]
327,966217823,MON045,Compumax,Equipo de computo,Monitor,,Compumax Computer ,400SN39213,Campuslands,0,[]
327,966217823,TEC045,Compumax,Equipo de computo,Teclado,,Compumax Computer ,COM2024CM21070517,Campuslands,0,[]
327,966217823,MOU045,Compumax,Equipo de computo,Mouse,,Compumax Computer ,KBM130090735,Campuslands,0,[]
327,966217823,CPU046,Compumax,Equipo de computo,Cpu,,Compumax Computer ,Sin serial ,Campuslands,0,[]
327,966217823,MON046,Compumax,Equipo de computo,Monitor,,Compumax Computer ,400SN39197,Campuslands,0,[]
327,966217823,TEC046,Compumax,Equipo de computo,Teclado,,Compumax Computer ,COM2024CM21070007,Campuslands,0,[]
327,966217823,MOU046,Compumax,Equipo de computo,Mouse,,Compumax Computer ,KBM130090734,Campuslands,0,[]
327,966217823,CPU047,Compumax,Equipo de computo,Cpu,,Compumax Computer ,Sin serial ,Campuslands,0,[]
327,966217823,MON047,Compumax,Equipo de computo,Monitor,,Compumax Computer ,102SN55078,Campuslands,0,[]
327,966217823,TEC047,Compumax,Equipo de computo,Teclado,,Compumax Computer ,COM2024CM21070008,Campuslands,0,[]
327,966217823,MOU047,Compumax,Equipo de computo,Mouse,,Compumax Computer ,KBM130090750,Campuslands,0,[]
327,966217823,CPU048,Compumax,Equipo de computo,Cpu,,Compumax Computer ,Sin serial ,Campuslands,0,[]
327,966217823,MON048,Compumax,Equipo de computo,Monitor,,Compumax Computer ,102SN55085,Campuslands,0,[]
327,966217823,TEC048,Compumax,Equipo de computo,Teclado,,Compumax Computer ,COM2024CM21070117,Campuslands,0,[]
327,966217823,MOU048,Compumax,Equipo de computo,Mouse,,Compumax Computer ,KBM130091713,Campuslands,0,[]
327,966217823,CPU049,Compumax,Equipo de computo,Cpu,,Compumax Computer ,Sin serial ,Campuslands,0,[]
327,966217823,MON049,Compumax,Equipo de computo,Monitor,,Compumax Computer ,400SN39233,Campuslands,0,[]
327,966217823,TEC049,Compumax,Equipo de computo,Teclado,,Compumax Computer ,COM2024CM21070277,Campuslands,0,[]
327,966217823,MOU049,Compumax,Equipo de computo,Mouse,,Compumax Computer ,KBM130090713,Campuslands,0,[]
327,966217823,CPU050,Compumax,Equipo de computo,Cpu,,Compumax Computer ,Sin serial ,Campuslands,0,[]
327,966217823,MON050,Compumax,Equipo de computo,Monitor,,Compumax Computer ,102SN55082,Campuslands,0,[]
327,966217823,TEC050,Compumax,Equipo de computo,Teclado,,Compumax Computer ,COM2024CM21070406,Campuslands,0,[]
327,966217823,MOU050,Compumax,Equipo de computo,Mouse,,Compumax Computer ,KBM130091712,Campuslands,0,[]
327,966217823,CPU051,Compumax,Equipo de computo,Cpu,,Compumax Computer ,Sin serial ,Campuslands,0,[]
327,966217823,MON051,Compumax,Equipo de computo,Monitor,,Compumax Computer ,102SN55101,Campuslands,0,[]
327,966217823,TEC051,Compumax,Equipo de computo,Teclado,,Compumax Computer ,COM2024CM21070557,Campuslands,0,[]
327,966217823,MOU051,Compumax,Equipo de computo,Mouse,,Compumax Computer ,KBM130091711,Campuslands,0,[]
327,966217823,CPU052,Compumax,Equipo de computo,Cpu,,Compumax Computer ,Sin serial ,Campuslands,0,[]
327,966217823,MON052,Compumax,Equipo de computo,Monitor,,Compumax Computer ,400SN39192,Campuslands,0,[]
327,966217823,TEC052,Compumax,Equipo de computo,Teclado,,Compumax Computer ,COM2024CM21070853,Campuslands,0,[]
327,966217823,MOU052,Compumax,Equipo de computo,Mouse,,Compumax Computer ,KBM130090712,Campuslands,0,[]
327,966217823,CPU053,Compumax,Equipo de computo,Cpu,,Compumax Computer ,Sin serial ,Campuslands,0,[]
327,966217823,MON053,Compumax,Equipo de computo,Monitor,,Compumax Computer ,400SN39181,Campuslands,0,[]
327,966217823,TEC053,Compumax,Equipo de computo,Teclado,,Compumax Computer ,COM2024CM21070893,Campuslands,0,[]
327,966217823,MOU053,Compumax,Equipo de computo,Mouse,,Compumax Computer ,KBM130090711,Campuslands,0,[]
327,966217823,CPU054,Compumax,Equipo de computo,Cpu,,Compumax Computer ,Sin serial ,Campuslands,0,[]
327,966217823,MON054,Compumax,Equipo de computo,Monitor,,Compumax Computer ,400SN39195,Campuslands,0,[]
327,966217823,TEC054,Compumax,Equipo de computo,Teclado,,Compumax Computer ,COM2024CM21070898,Campuslands,0,[]
327,966217823,MOU054,Compumax,Equipo de computo,Mouse,,Compumax Computer ,KBM130091741,Campuslands,0,[]
327,966217823,CPU055,Compumax,Equipo de computo,Cpu,,Compumax Computer ,Sin serial ,Campuslands,0,[]
327,966217823,MON055,Compumax,Equipo de computo,Monitor,,Compumax Computer ,400SN39232,Campuslands,0,[]
327,966217823,TEC055,Compumax,Equipo de computo,Teclado,,Compumax Computer ,COM2024CM21070400,Campuslands,0,[]
